state,created
unknown,"2016-12-16 19:33:22.148945"
unknown,"2016-12-16 19:48:11.516207"
6.2,"2016-12-23 01:30:30.793848"
2.7,"2016-12-23 02:00:30.746668"
6.0,"2016-12-23 02:30:30.772432"
2.2,"2016-12-23 03:00:30.768109"
6.0,"2016-12-23 03:30:30.713603"
3.3,"2016-12-23 04:00:30.758603"
2.7,"2016-12-23 04:30:30.764998"
3.0,"2016-12-23 05:00:30.737884"
4.9,"2016-12-23 05:30:30.762871"
2.4,"2016-12-23 06:00:30.770527"
4.6,"2016-12-23 06:30:31.301503"
1.9,"2016-12-23 07:00:30.758861"
1.4,"2016-12-23 07:30:30.861620"
0.8,"2016-12-23 08:00:30.759799"
2.4,"2016-12-23 08:30:30.755617"
1.4,"2016-12-23 09:00:30.760873"
2.2,"2016-12-23 09:30:30.768467"
1.6,"2016-12-23 10:00:30.739442"
1.9,"2016-12-23 10:30:30.715400"
2.4,"2016-12-23 11:30:30.760680"
1.4,"2016-12-23 12:00:30.749123"
2.4,"2016-12-23 12:30:30.754309"
2.2,"2016-12-23 13:00:30.762340"
3.5,"2016-12-23 13:30:30.735631"
2.4,"2016-12-23 14:00:30.734935"
2.2,"2016-12-23 15:00:30.761292"
3.3,"2016-12-23 15:30:30.735055"
1.6,"2016-12-23 16:00:30.764335"
unknown,"2016-12-24 21:32:35.796490"
4.3,"2016-12-24 22:00:30.771103"
6.0,"2016-12-24 22:30:30.769474"
3.8,"2016-12-24 23:00:30.931271"
6.2,"2016-12-24 23:30:30.752065"
4.6,"2016-12-25 00:00:30.748620"
5.7,"2016-12-25 00:30:30.730335"
4.9,"2016-12-25 01:00:30.746403"
6.2,"2016-12-25 01:30:30.748382"
4.6,"2016-12-25 02:00:30.760601"
5.4,"2016-12-25 02:30:30.766901"
4.3,"2016-12-25 03:00:30.736637"
5.7,"2016-12-25 03:30:30.714577"
6.5,"2016-12-25 04:30:30.768701"
4.6,"2016-12-25 05:00:30.733797"
6.0,"2016-12-25 05:30:30.877458"
3.5,"2016-12-25 06:00:30.734478"
5.2,"2016-12-25 06:30:30.741387"
4.9,"2016-12-25 07:00:30.768748"
5.7,"2016-12-25 07:30:30.773849"
4.1,"2016-12-25 08:00:30.728198"
6.2,"2016-12-25 08:30:30.780992"
3.0,"2016-12-25 09:00:30.775535"
6.0,"2016-12-25 09:30:30.764245"
4.1,"2016-12-25 10:00:30.759079"
5.4,"2016-12-25 10:30:30.782120"
1.4,"2016-12-25 11:00:30.752376"
2.7,"2016-12-25 11:30:30.738827"
1.9,"2016-12-25 12:00:30.706659"
6.0,"2016-12-25 13:30:30.747868"
3.8,"2016-12-25 14:00:30.715728"
6.0,"2016-12-25 14:30:30.755731"
1.9,"2016-12-25 15:00:30.712747"
2.2,"2016-12-25 15:30:30.716225"
2.4,"2016-12-25 16:30:30.762004"
1.6,"2016-12-25 17:00:30.754711"
2.7,"2016-12-25 17:30:30.750021"
1.1,"2016-12-25 18:00:30.748810"
0.5,"2016-12-25 19:00:30.735627"
1.4,"2016-12-25 19:30:30.764465"
2.7,"2016-12-25 20:00:30.747727"
0.8,"2016-12-25 20:30:30.735836"
1.1,"2016-12-25 21:00:30.749595"
2.2,"2016-12-25 21:30:30.694561"
1.4,"2016-12-25 22:00:30.756662"
3.5,"2016-12-25 22:30:30.799513"
1.1,"2016-12-25 23:00:30.759539"
1.6,"2016-12-25 23:30:30.755396"
